book_id,book_name,author,publisher,release_dt,book_price,division,book_img
1,소년이 온다,한강 지음,창비,2014-05-19,15000,B001,https://image.aladin.co.kr/product/4086/97/cover200/8936434128_2.jpg
2,작별하지 않는다,한강 지음,문학동네,2021-09-09,16800,B001,https://image.aladin.co.kr/product/27877/5/cover200/8954682154_3.jpg
3,채식주의자 (리마스터판),한강 지음,창비,2022-03-28,15000,B001,https://image.aladin.co.kr/product/29137/2/cover200/8936434594_2.jpg
4,흰,"한강 지음, 최진혁 사진",문학동네,2018-04-25,14500,B001,https://image.aladin.co.kr/product/14322/3/cover200/8954651135_3.jpg
5,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),2023-12-18,19800,B002,https://image.aladin.co.kr/product/33010/94/cover200/8917239501_1.jpg
6,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),ETS 엮음,(주)YBM(와이비엠),2023-12-18,19800,B002,https://image.aladin.co.kr/product/33010/92/cover200/8917239498_1.jpg
7,이처럼 사소한 것들,"클레어 키건 지음, 홍한별 옮김",다산책방,2023-11-27,13800,B001,https://image.aladin.co.kr/product/32938/68/cover200/k472936042_2.jpg
8,서랍에 저녁을 넣어 두었다,한강 지음,문학과지성사,2013-11-15,12000,B001,https://image.aladin.co.kr/product/3335/59/cover200/8932024634_3.jpg
9,그의 운명에 대한 아주 개인적인 생각,유시민 지음,생각의길,2024-06-19,16800,B003,https://image.aladin.co.kr/product/34121/16/cover200/s812931190_2.jpg
10,불변의 법칙,"모건 하우절 지음, 이수경 옮김",서삼독,2024-02-28,25000,B004,https://image.aladin.co.kr/product/33406/14/cover200/k272938139_2.jpg
11,세이노의 가르침 (화이트 에디션),세이노(SayNo) 지음,데이원,2023-03-02,7200,B005,https://image.aladin.co.kr/product/30929/51/cover200/s662930344_1.jpg
12,희랍어 시간,한강 지음,문학동네,2011-11-10,13000,B001,https://image.aladin.co.kr/product/1384/91/cover200/8954616518_2.jpg
13,트렌드 코리아 2025,김난도 외 지음,미래의창,2024-09-25,20000,B004,https://image.aladin.co.kr/product/34634/14/cover200/8959897221_2.jpg
14,해커스 토익 기출 VOCA (보카),David Cho 지음,해커스어학연구소(Hackers),2024-08-19,12900,B002,https://image.aladin.co.kr/product/17602/13/cover200/s172937955_1.jpg
15,모순,양귀자 지음,쓰다,2013-04-01,13000,B001,https://image.aladin.co.kr/product/2584/37/cover200/8998441012_3.jpg
16,빨모쌤의 라이브 영어회화 (특별 부록 한정판),빨간모자쌤 신용하 지음,웅진지식하우스,2024-04-15,22000,B002,https://image.aladin.co.kr/product/33799/49/cover200/s122932101_1.jpg
17,나를 소모하지 않는 현명한 태도에 관하여,"마티아스 뇔케 지음, 이미옥 옮김",퍼스트펭귄,2024-03-10,17800,B005,https://image.aladin.co.kr/product/33562/77/cover200/k882939888_1.jpg
18,돈의 심리학 (30만 부 기념 스페셜 에디션),"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),2021-01-13,19800,B004,https://image.aladin.co.kr/product/32852/7/cover200/k132936910_2.jpg
